20201019133024,10.20.30.1/16,1
20201019133025,10.20.30.2/16,90
20201019133034,192.168.1.1/24,43
20201019133035,192.168.1.2/24,150
20201019133124,10.20.30.1/16,2
20201019133125,10.20.30.2/16,1
20201019133134,192.168.1.1/24,10
20201019133135,192.168.1.2/24,90
20201019133224,10.20.30.1/16,522
20201019133225,10.20.30.2/16,1
20201019133234,192.168.1.1/24,8
20201019133235,192.168.1.2/24,100
20201019133324,10.20.30.1/16,90
20201019133325,10.20.30.2/16,2
20201019133334,192.168.1.1/24,111
20201019133335,192.168.1.2/24,80
20201019133424,10.20.30.1/16,88
20201019133425,10.20.30.2/16,2
20201019133434,192.168.1.1/24,123
20201019133435,192.168.1.2/24,120
20201019133524,10.20.30.1/16,50
20201019133525,10.20.30.2/16,2
20201019133534,192.168.1.1/24,-
20201019133535,192.168.1.2/24,110
20201019133624,10.20.30.1/16,21
20201019133625,10.20.30.2/16,2
20201019133634,192.168.1.1/24,98
20201019133635,192.168.1.2/24,15
20201019133724,10.20.30.1/16,1
20201019133725,10.20.30.2/16,90
20201019133734,192.168.1.1/24,20
20201019133735,192.168.1.2/24,10
